year,strategy_return,strategy_index,country_1,country_2,country_3,benchmark_return,benchmark_index
2001,0.04741133449425683,115.51301027820185,Switzerland,Finland,USA,0.035,16.273769108893944
2002,0.1573366723364867,133.6874429269445,USA,Finland,Switzerland,0.159040809,18.861962513451644
2003,0.02340199588708097,136.81599591647523,USA,Switzerland,Italy,0.020222222,19.24339330675434
2004,0.1000480504215128,150.50416957439626,USA,Sweden,Norway,0.069047615,20.57210371909269
2005,0.08922213756292299,163.93247329595653,Norway,Sweden,Italy,0.076037385,22.136352689841274
2006,0.030970943786929536,169.0096167112579,Norway,Japan,Sweden,0.000545455,22.14842707409771
2007,0.04344350264632584,176.35198644210794,Norway,Japan,Switzerland,0.086095236,24.055301130070944
2008,0.1216276094309055,197.80125697145297,Finland,Switzerland,Japan,0.246834874,29.99298835354406
2009,0.04224022346367749,206.1564262673234,UK,Italy,Spain,-0.152206108,25.42787232896179
2010,-0.026931182652371998,200.60438989655785,Portugal,Spain,UK,0.101074763,27.99798849820586
2011,-0.016500343406760182,197.29434857436104,Portugal,Spain,UK,0.253389388,35.092381668997284
2012,0.37475498510762445,271.23138923616415,Portugal,Spain,Italy,0.032299269,36.22583994437489
2013,0.12668018611963316,305.5910321060881,Portugal,Spain,Italy,-0.132420287,31.428803822124703
2014,0.23417116020667916,377.1516386431273,Portugal,UK,Spain,0.243896559,39.09418092782696
2015,0.011611340197046915,381.5308746252864,Portugal,USA,UK,-0.018857144,38.35697632850887
